05:58:30.169563 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31504 rtt_min_us>31434 rtt_max_us>31623 cwnd>76 cwnd_min>76 cwnd_max>76 rate_avg_kbps>26015.024 rate_min_kbps>25863.064 rate_max_kbps>26149.336 alpha_avg>0.007431 alpha_min>0.006080 alpha_max>0.009376 inflight>17 sent>53 lost>0 total_lost>0
05:58:30.271284 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>31482 rtt_min_us>31377 rtt_max_us>31700 cwnd>76 cwnd_min>76 cwnd_max>76 rate_avg_kbps>26123.288 rate_min_kbps>25929.688 rate_max_kbps>26237.080 alpha_avg>0.011023 alpha_min>0.008790 alpha_max>0.014150 inflight>17 sent>53 lost>0 total_lost>0
05:58:30.372987 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31526 rtt_min_us>31419 rtt_max_us>31696 cwnd>77 cwnd_min>76 cwnd_max>77 rate_avg_kbps>26206.000 rate_min_kbps>25937.768 rate_max_kbps>26344.864 alpha_avg>0.012999 alpha_min>0.011660 alpha_max>0.014150 inflight>17 sent>53 lost>0 total_lost>0
05:58:30.474696 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>31539 rtt_min_us>31413 rtt_max_us>32068 cwnd>76 cwnd_min>76 cwnd_max>77 rate_avg_kbps>26330.839 rate_min_kbps>25706.664 rate_max_kbps>26543.672 alpha_avg>0.013607 alpha_min>0.010931 alpha_max>0.020406 inflight>17 sent>53 lost>0 total_lost>0
05:58:30.576398 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31684 rtt_min_us>31465 rtt_max_us>32160 cwnd>76 cwnd_min>75 cwnd_max>76 rate_avg_kbps>25828.502 rate_min_kbps>25416.440 rate_max_kbps>26020.368 alpha_avg>0.033949 alpha_min>0.020406 alpha_max>0.042405 inflight>17 sent>53 lost>0 total_lost>0
05:58:30.678110 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31497 rtt_min_us>31441 rtt_max_us>31603 cwnd>73 cwnd_min>73 cwnd_max>76 rate_avg_kbps>25505.938 rate_min_kbps>25107.672 rate_max_kbps>26081.552 alpha_avg>0.042552 alpha_min>0.037271 alpha_max>0.046773 inflight>17 sent>53 lost>0 total_lost>0
05:58:30.779817 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31500 rtt_min_us>31429 rtt_max_us>31671 cwnd>72 cwnd_min>72 cwnd_max>74 rate_avg_kbps>24937.391 rate_min_kbps>24680.080 rate_max_kbps>25284.784 alpha_avg>0.047087 alpha_min>0.045218 alpha_max>0.048231 inflight>18 sent>53 lost>0 total_lost>0
05:58:30.881521 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31761 rtt_min_us>31482 rtt_max_us>31970 cwnd>73 cwnd_min>72 cwnd_max>73 rate_avg_kbps>24770.438 rate_min_kbps>24597.384 rate_max_kbps>25035.960 alpha_avg>0.040237 alpha_min>0.037259 alpha_max>0.045218 inflight>17 sent>53 lost>0 total_lost>0
05:58:30.983228 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31475 rtt_min_us>31417 rtt_max_us>31592 cwnd>74 cwnd_min>73 cwnd_max>74 rate_avg_kbps>25282.534 rate_min_kbps>25035.960 rate_max_kbps>25555.232 alpha_avg>0.032882 alpha_min>0.028783 alpha_max>0.037259 inflight>17 sent>53 lost>0 total_lost>0
05:58:31.084937 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31678 rtt_min_us>31411 rtt_max_us>32226 cwnd>76 cwnd_min>74 cwnd_max>76 rate_avg_kbps>25641.161 rate_min_kbps>25396.296 rate_max_kbps>25917.576 alpha_avg>0.026841 alpha_min>0.023718 alpha_max>0.028783 inflight>17 sent>53 lost>0 total_lost>0
